phase,class,percent,source_config,note
prefill_chunk,MoE trellis GEMM,28.06,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 269.844 ms, 84 calls/step"
prefill_chunk,MoE trellis GEMM - gate/up (w13),18.16,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 174.678 ms, 42 calls (sub-row of MoE trellis GEMM)"
prefill_chunk,MoE trellis GEMM - down (w2),9.90,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 95.166 ms, 42 calls (sub-row of MoE trellis GEMM)"
prefill_chunk,NCCL collectives,13.96,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 134.268 ms, 105 calls. 100 % exposed - measured comm/compute overlap 0.00 ms"
prefill_chunk,Dense EXL3 GEMM,13.35,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 128.384 ms, 204 calls. Replaces production 7's dense BF16 GEMM class"
prefill_chunk,"hyper-connection mixing (HC, mhc_*/hc_prenorm)",11.86,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 114.076 ms, 275 calls"
prefill_chunk,MLA attention,8.30,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 79.835 ms, 59 calls"
prefill_chunk,KDA/GDN linear-attn,7.98,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 76.789 ms, 479 calls"
prefill_chunk,MoE hadamard (had_in / glu_had_in),4.89,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 47.015 ms, 84 calls"
prefill_chunk,norm / elementwise / copy,3.81,production 9,"our production-9 profiler run section 2.1 ; wall 961.73 ms per steady 1,792-token chunk, GPU busy 953.10 ms, occupancy 99.1 %, 3 chunks x 3 ranks, live server, no restart; 36.677 ms, 1037 calls"
