label,gpu_mem_util,kv_pool_tokens,source,note
"EXL3 TP=2, no draft (draftless)",0.85,2548117,our internal working log,"First EX arm, 2 nodes, no speculative decoding."
"EXL3 TP=2 + MTP k=3, block-size 256",0.85,1987179,our internal working log,MTP + block 256 costs -22 % of pool vs draftless. our internal working log also writes this as 1.99M in.
EXL3 TP=2 + DFlash2 k=7 (draft page 16),0.85,825000,"our internal working log and; docs/07-kv-and-draft-page.md,; docs/10-results-and-roofline.md","Written as '825k' in our internal working log and '825,000' in the repo. Root cause of the collapse: the DFlash2 sliding-window group got the backend's smallest kernel block (16 tokens) and took 53 % of the blocks-per-request budget for 0.6 % of the memory."
"EXL3 TP=3 + EP + DFlash2 k=7, first working boot",0.85,2947441,; docs/07-kv-and-draft-page.md; docs/03-tp3-padding-and-sidecars.md;,+257 % over TP=2. Weights per node 81.53 -> 54.86 GiB.
"EXL3 TP=3 + EP, running engine after restart (boot 3)",0.85,2928077,our internal working log; and;,"CONTRADICTION with the row above: 2,947,441 (boot 2) vs 2,928,077 (boot 3, the engine actually left running, 39.6 GiB). Same configuration, two boots."
"EXL3 TP=3 + EP, stock kernels",0.80,2587828,; docs/05-expert-parallel-and-cuda-exl3-fixes.md; docs/10-results-and-roofline.md,"gpu-memory-utilization dropped 0.85 -> 0.80 here; this is the 'third node made it slower' arm (C1 40.8, C8 91.9)."
EXL3 TP=3 + EP + n_rows kernel fix (image harem1),0.80,2571230,and; docs/05-...; docs/10-results-and-roofline.md,"The one-line MoE GEMM dispatch fix. C1 49.4, C4 97.0, C8 137.2, prefill 1474."
"PRODUCTION 1: bc0e0f6 + 0003 combine staging, MNBT 4096, NCCL_MAX_NCHANNELS=8",0.80,1627170,"results/speed/concurrency-sweeps.csv (arm 'bc0e0f6+0003, MNBT 4096'); docs/10-results-and-roofline.md; our internal working log; our sweep aggregate row A-bc0e0f6s","MNBT 4096 costs -28.5 % of pool. CONTRADICTION: our internal working log 's 21:30 table reports 1.77M for this arm and says 2.60M at MNBT 2048; the A/B in docs/07-kv-and-draft-page.md gives 2,427,385 -> 1,736,465 (-28.5 %)."
"A/B arm: 61a17bc, MoE input fusion off, MNBT 4096 (rejected)",0.80,1677221,results/speed/concurrency-sweeps.csv; results/speed/concurrency-sweeps.md; our sweep aggregate row C-61a17bc-fusein0,"Fusion A/B, closed - upstream dropped the branch."
"A/B arm: 61a17bc, MoE input fusion auto, MNBT 4096 (rejected)",0.80,1685393,results/speed/concurrency-sweeps.csv; concurrency-sweeps.md; our sweep aggregate row B-61a17bc-auto,Same A/B.
NCCL_MAX_NCHANNELS=8 measured on the MNBT-4096 base,0.80,1648621,docs/10-results-and-roofline.md; our sweep aggregate row 'final',"The channel cap itself moved C8 133.4 -> 150.8 and left prefill / gates / acceptance / KV unchanged. The paired base boot ('base2') read 1,639,427 - i.e. three boots of essentially the same arm span 1,627,170 / 1,639,427 / 1,648,621."
